Lat,Lng,HDD30,CDD30
34.51667,-93.05,3133,1993
36.06667,-93.75,3944,1381
35.833333,-90.7,3737,1858
35.674440000000004,-90.08471999999999,3655,1829
34.6,-92.0,2932,2010
36.45,-92.95,4372,1439
34.16667,-92.58333,2959,1893
34.73333,-92.23333000000001,3084,2086
33.266667,-93.233333,2876,1859
34.35,-92.73333000000001,2989,1846
36.483333,-91.533333,4319,1331
34.75,-90.75,3409,1867
35.9,-92.63333,3897,1533
34.53333,-94.23333000000001,3649,1463
33.75,-92.0,2937,1960
35.116667,-92.75,3614,1701
34.53333,-93.58333,3854,1417
35.65,-94.15,3347,1683
36.33333,-92.38333,4249,1413
35.866667,-92.116667,3848,1571
34.06667,-93.7,3455,1648
33.966667,-93.85,3087,1879
35.6,-91.283333,3490,1967
34.95,-93.166667,3594,1712
34.83333,-92.26666999999999,2980,2196
33.766667,-93.883333,2543,2180
35.483333,-93.833333,3679,1739
36.033609999999996,-90.49778,3872,1725
34.2,-92.0,2935,2099
36.266667,-90.983333,4037,1641
33.233333,-91.5,2847,2079
33.8,-93.383333,2976,1947
33.833333,-91.033333,2979,2023
34.383333,-91.133333,3123,1984
35.25,-91.733333,3655,1726
34.28333,-92.4,3282,1813
36.183333000000005,-94.55,4283,1373
33.91667,-92.85,3127,1908
33.35,-93.5,2694,2031
34.53333,-91.53333,3103,2073
35.3,-93.65,3366,1763
33.4,-94.033333,2421,2280
34.9,-94.1,3272,1751
33.6,-92.06666700000001,3032,1877
35.13333,-90.18333,3417,1903
35.25,-90.75,3715,1722
41.2,-120.95,5988,300
32.83333,-116.78333,1926,1382
41.483333,-120.53333,6808,212
33.86667,-117.85,1286,1294
38.58333,-122.43333,3426,659
37.98333,-121.73333000000001,2714,1179
36.483333,-118.83333,2741,1976
37.1,-119.5,2868,1922
38.9,-121.06666000000001,2992,1366
33.35,-118.33333,1589,749
35.26667,-116.06667,2011,3607
35.41667,-119.05,2120,2286
36.9,-119.1,3045,1794
34.9,-117.01666999999999,2294,2566
33.93333,-116.93333,2146,1572
37.08333,-122.08333,2871,400
37.866667,-122.26666000000002,2857,142
40.75,-123.25,3831,939
34.25,-116.91666000000001,6548,89
37.36667,-118.41667,4314,1003
39.28333,-120.7,5545,423
33.6,-114.6,1295,3977
33.61667,-114.71667,1226,4166
39.383333,-120.1,8107,35
38.216667,-119.01666000000002,9770,4
33.266667,-116.41666000000001,1130,3928
39.45,-120.65,6193,311
32.983333,-115.53333,1155,3733
38.25,-119.23333000000001,8439,37
38.75,-122.15,2815,1393
34.2,-118.36667,1575,1455
40.88333,-121.66667,6495,196
35.4,-119.46667,2668,1857
34.58333,-119.98333000000001,1994,970
38.283333,-120.31666000000001,5924,308
38.583333,-122.58333,2811,819
41.3,-122.8,5493,315
32.61667,-116.46667,3133,821
38.25,-120.85,2758,1534
41.45,-120.86667,6842,199
34.18333,-118.56667,1822,1485
40.183333000000005,-121.08333,6609,247
41.1,-123.05,5116,615
41.533333,-120.16666000000001,6589,420
37.96667,-119.91667,4942,656
40.3,-121.21666,6743,184
39.716667,-121.85,2945,1334
32.6,-117.1,1321,862
38.96667,-122.63333,3804,753
38.76667,-122.98333000000001,2639,1127
36.15,-120.35,2234,2204
39.1,-120.95,3512,1116
39.21667,-122.0,2702,1401
36.1,-119.56667,2507,1909
33.8735,-117.55733000000001,1599,1534
39.8,-123.25,3925,684
41.75,-124.2,4687,6
34.01667,-118.38333,1344,959
33.0,-116.58333,4988,457
34.86667,-116.78333,2228,2915
38.55,-121.73333000000001,2853,1127
36.46667,-116.86667,1257,5296
37.36667,-117.98333000000001,5293,843
39.3,-120.83333,4739,692
39.866667,-121.63333,4040,806
39.36667,-121.2,3418,969
39.333333,-120.21666,8284,44
39.566666999999995,-120.81666000000001,4782,438
39.95,-120.08333,6013,314
34.483333,-118.53333,2502,1139
41.2,-122.26666999999999,4711,503
33.8,-115.45,1131,4277
39.366667,-122.51666000000002,3498,1082
32.81667,-116.96667,1560,1371
32.88333,-116.81667,1419,1712
32.78333,-115.56667,1080,3952
38.333333,-120.66666000000001,2854,1218
34.63333,-117.6,3616,1370
33.716667,-117.4,1924,1874
33.11667,-117.08333,1464,1436
40.8,-124.16666000000001,4403,7
38.25,-122.05,2649,975
34.716667,-118.43333,3199,1608
36.33333,-120.16667,2446,1784
38.7,-121.16667,2532,1528
34.08333,-117.5,1351,1905
41.866667,-120.15,6653,281
39.466667,-123.8,4266,6
38.516667,-123.25,4234,6
36.73333,-119.81667,2447,1963
36.983333,-119.71666,2672,1708
37.0,-121.56666000000001,2278,913
35.71667,-118.7,4466,427
36.733333,-118.96666,6844,155
39.2,-121.06667,4287,612
38.433333000000005,-122.88333,3179,288
40.48333,-123.78333,4610,38
36.133333,-117.95,3784,1441
37.46667,-122.43333,3737,11
36.3,-119.55,2749,1724
41.8,-123.38333,4255,671
40.933333000000005,-121.55,5685,314
33.7,-115.63333,1588,3196
38.6,-122.86666000000001,2501,853
33.233333,-116.76666000000002,3651,786
37.95,-119.78333,4740,619
36.85,-121.4,2724,405
37.233333,-119.21666,6992,93
33.75,-116.71666,5071,333
32.85,-115.56666000000001,1115,3764
36.8,-118.2,3579,1804
33.716667,-116.21666,903,4388
35.65,-117.81666000000001,2633,2340
34.15,-115.11667,1156,4476
41.766667,-120.3,7575,158
37.95,-122.55,2567,557
35.466667,-118.78333,1645,3236
35.783333,-118.43333,3103,1593
36.216667,-121.11666000000001,2384,598
41.533333,-124.05,4514,5
33.533333,-117.78333,1756,666
34.266667,-117.2,5450,462
39.05,-122.91666000000001,3698,793
38.5,-122.0,2716,1420
39.55,-121.0,6321,179
32.76667,-117.01666999999999,1313,1261
34.73333,-118.21667,3241,1733
41.73333,-121.51666999999999,6395,387
37.95,-119.11667,6513,281
36.383333,-119.03333,2336,1939
36.216667,-119.1,2505,1707
37.683333000000005,-121.76666000000002,2755,858
36.6,-118.73333000000001,8399,31
38.1,-121.28333,2710,1057
34.633333,-120.46666,2241,322
33.81667,-118.15,1211,1186
33.93333,-118.38333,1274,679
34.05,-118.23333000000001,928,1506
37.066666999999995,-120.85,2570,1547
36.98333,-120.93333,2490,1726
37.233333,-122.0,2641,613
36.983333,-120.01666000000002,2670,1706
40.533333,-121.56666000000001,7486,90
35.083333,-119.38333,2190,2334
38.7,-119.78333,7091,97
38.5,-122.11667,2996,1111
38.01667,-122.11667,2757,786
39.15,-121.56666000000001,2488,1687
41.25,-122.13333,5641,368
33.566666999999995,-116.08333,1118,3958
37.3,-120.48333000000001,2602,1578
40.35,-121.65,7384,81
34.95,-115.55,2902,2066
37.62583,-120.95333000000001,2358,1570
35.05,-118.16666000000001,2835,1976
34.03333,-118.1,949,1837
36.6,-121.88333,3080,74
35.36667,-120.85,3344,50
35.46667,-115.53333,4105,1494
37.86667,-121.93333,3245,983
37.33333,-121.65,4521,747
41.31667,-122.31667,5991,235
34.23333,-118.06667,3995,969
38.283333,-122.26666000000002,2689,529
34.766667,-114.61666000000001,1227,4545
39.266667,-121.01666000000002,4565,689
37.516667,-122.03333,2367,530
34.95,-119.68333,3321,996
37.316666999999995,-121.03333,2680,1449
33.6,-117.88333,1715,543
37.8,-122.26666999999999,2400,377
33.183333000000005,-117.36666000000001,2009,505
34.45,-119.23333000000001,2092,989
36.61667,-119.3,2538,1857
41.36667,-124.01666999999999,5005,3
39.75,-122.2,2630,1581
41.3,-123.53333,3389,831
39.5,-121.56667,2818,1422
34.183333000000005,-119.16666000000001,1935,404
37.6,-122.46667,3247,72
34.583333,-118.11666000000001,2704,1998
33.9,-116.55,951,4224
37.45,-122.13333,2584,452
33.35,-116.85,4060,963
39.75,-121.61667,3145,1464
34.28333,-114.16667,1230,4523
34.15,-118.15,1398,1558
35.616667,-120.68333,2932,785
35.6,-120.65,2789,1038
34.5,-117.88333,2908,1801
38.233333,-122.63333,2741,385
36.48333,-121.18333,2907,882
35.13333,-120.63333,2524,151
38.733333,-120.8,3324,1164
38.73333,-120.73333000000001,3235,1470
38.916667,-123.7,4332,4
34.066666999999995,-117.75,1718,1191
36.066666999999995,-119.01666000000002,2053,2246
39.8,-120.46666,7303,106
39.36667,-123.13333,3429,745
36.25,-120.71666,3946,653
39.933333000000005,-120.95,5490,364
33.03333,-116.88333,2192,1036
35.36667,-117.65,3134,1965
40.15,-122.25,2647,1926
40.5,-122.3,2961,1741
34.05,-117.18333,1904,1714
37.483333,-122.23333000000001,2764,422
40.03333,-123.78333,3743,500
37.93333,-122.35,2720,184
33.933333000000005,-117.38333,1475,1863
33.966667,-117.33333,1674,1697
38.51667,-121.5,2666,1248
38.58333,-121.5,2226,1597
39.43333,-120.23333000000001,8741,6
38.5,-122.46666,2652,806
36.66667,-121.61667,2819,131
36.7,-121.66667,2755,210
38.5,-120.21667,3828,1015
34.1,-117.28333,1599,1937
34.75,-118.73333000000001,4146,1066
32.73333,-117.16667,1063,866
37.766667,-122.5,3653,17
37.61667,-122.38333,2862,142
37.8,-122.4,2589,164
34.1,-118.1,1295,1575
37.3,-122.33333,3629,32
33.783333,-116.96666,1914,1903
37.35,-121.9,2171,811
37.05,-121.06667,2625,1486
35.283333,-120.66666000000001,2129,476
33.08333,-117.0,1725,1313
37.966667,-122.53333,2621,451
33.75,-117.85,1153,1299
34.416667,-119.71666,1902,470
34.43333,-119.83333,2121,482
36.966667,-122.03333,2836,162
34.9,-120.45,2783,121
34.01667,-118.5,1803,429
34.35,-119.06666000000001,1904,602
38.433333000000005,-122.71666,2694,526
40.483333,-124.1,3793,47
40.716667,-122.41666000000001,2894,1884
40.03333,-124.06667,3266,92
39.583333,-120.63333,5183,492
39.583333,-120.36666000000001,6884,119
38.3,-122.46666,2647,717
37.983333,-120.38333,3618,1030
37.5,-119.63333,6513,131
37.9,-121.25,2563,1456
37.95,-121.28333,2686,1203
39.583333,-122.53333,3268,1376
39.56667,-121.1,5298,312
33.71667,-117.2,2123,1710
40.38333,-120.56667,6168,390
39.166667,-120.13333,7616,47
38.9,-120.0,8300,38
35.133333,-118.45,4301,677
35.033333,-118.75,2555,1960
40.866667,-120.45,7734,134
33.683333000000005,-116.16666000000001,1141,3916
36.466667,-118.85,2615,1983
38.45,-120.5,4058,788
33.85,-118.33333,1526,742
37.733333,-121.43333,2880,1056
37.8,-121.58333,2421,1470
40.73333,-122.8,4527,641
35.75,-117.38333,2492,2922
39.333333,-120.18333,7591,100
41.966667,-121.46666,7003,154
37.483333,-120.85,2519,1506
33.733333,-117.78333,1794,1102
34.13333,-116.05,1910,3064
38.7,-120.05,8874,25
34.98333,-120.31667,2199,487
39.15,-123.2,3083,843
34.06667,-118.45,1364,893
37.769333,-122.15516000000001,2810,261
38.366667,-122.0,2410,1498
34.516667,-117.3,2929,1735
36.333333,-119.28333,2588,1685
33.21667,-117.23333000000001,1514,1047
38.71667,-123.0,2962,624
35.6,-119.33333,2434,1990
36.9,-121.75,3083,123
40.733333,-122.93333,4721,664
41.41667,-122.38333,6023,271
40.61667,-122.53333,3240,1628
36.26667,-117.18333,3663,1623
39.416667,-123.35,4302,193
40.95,-123.63333,3566,887
39.516667,-122.18333,2874,1358
38.533333,-121.96666,2527,1640
38.783333,-119.81666000000001,6059,356
38.683333000000005,-121.76666000000002,2683,1417
37.43333,-122.25,2769,569
37.75,-119.58333,4759,828
41.733333,-122.63333,5550,550
40.15,-103.2,6703,628
40.11667,-103.16667,6319,736
37.43333,-105.85,8736,44
39.516667,-108.53333,7034,345
39.0,-105.88333,10731,0
39.18333,-106.83333,8835,35
39.4,-105.48333000000001,8955,12
39.8,-105.78333,12843,0
37.36667,-105.55,8449,87
38.46667,-107.16667,8998,92
39.61667,-102.18333,6237,781
40.016667,-105.28333,5687,552
40.65,-104.33333,6532,607
39.98333,-104.83333,6440,569
40.8,-108.91667,7659,284
40.61667,-105.28333,7337,231
38.85,-106.13333,8020,72
39.3,-102.23333000000001,6261,779
39.7,-104.21666,6527,666
39.65,-105.7,10688,0
37.08333,-102.68333,5200,1088
38.433333000000005,-105.25,5246,786
39.366667,-104.86666000000001,6732,299
38.9,-107.91666000000001,6275,529
37.75,-106.15,8936,32
39.21667,-105.28333,8299,88
39.6,-104.8,6058,589
38.816666999999995,-102.35,5535,965
38.4,-107.51666999999999,8513,83
39.35,-106.16666000000001,12418,0
38.2,-106.78333,9557,31
39.233333,-107.96666,7232,378
39.1,-108.73333000000001,5873,1046
38.81667,-104.7,6480,404
37.283333,-108.61666000000001,6568,446
40.45,-107.6,8351,209
38.883333,-107.1,11644,0
37.98333,-105.68333,7550,147
37.666667,-106.35,8381,41
38.75,-108.06666000000001,6058,657
39.76667,-104.88333,6128,695
39.616667,-106.06666000000001,10874,0
40.23333,-108.96667,7030,655
37.283333,-107.88333,6779,238
38.48333,-102.78333,6089,872
39.65,-106.96667,7850,182
40.383333,-105.53333,7748,43
39.63333,-105.31667,7774,82
39.23333,-103.08333,6721,581
38.88333,-105.28333,9403,3
40.58333,-105.08333,6238,497
37.233333,-108.05,7895,113
40.25,-103.8,6293,880
39.15,-108.71666,6127,783
38.66667,-108.98333000000001,5036,1083
39.55,-107.33333,6685,446
39.11667,-108.53333,5700,1091
39.05,-108.45,5489,1098
40.25,-105.83333,10182,6
40.25,-105.85,10390,1
39.46667,-105.68333,9665,4
37.733333,-105.55,7977,111
40.41667,-104.7,5980,759
39.88333,-106.33333,9847,28
38.55,-106.93333,10127,26
40.46667,-107.25,8164,214
37.766667,-107.15,10976,0
40.96667,-106.0,9929,8
38.016667,-102.08333,5577,1147
40.6,-102.46666,6194,801
40.63333,-105.6,9833,6
39.68333,-102.26666999999999,6361,707
37.13333,-107.65,7031,269
39.65,-102.68333,6346,702
38.083333,-102.95,5578,1090
41.0,-102.25,5911,959
38.8,-103.51666,6095,642
39.5,-105.1,6049,644
40.85,-103.96666,7081,465
37.416667,-103.51666,5673,713
37.11667,-103.3,5911,537
38.766667,-102.8,6326,809
40.03333,-106.45,9893,29
38.05,-103.51666999999999,5335,1199
37.71667,-103.48333000000001,5059,1256
37.9,-107.36666000000001,9307,19
38.916667,-105.48333000000001,9861,11
39.75,-105.13333,6773,435
38.083333,-102.8,5556,1088
38.066666999999995,-103.13333,5225,1218
39.23333,-106.31667,10962,0
37.3789,-107.6593,8623,26
40.516667,-103.01666,6429,718
39.18333,-103.7,6776,437
39.68333,-103.41667,6659,576
40.0,-108.2,8659,117
40.166667,-105.1,6415,587
40.4,-105.11667,6256,524
37.283333,-106.08333,8253,53
40.28333,-108.6,7691,377
40.51667,-108.08333,8738,168
39.36667,-106.75,9871,11
37.2,-108.48333000000001,6637,412
37.583333,-106.15,8465,71
38.5,-107.93333,6320,528
39.1,-104.86667,7464,182
39.65,-105.6,12251,0
40.6,-103.83333,7038,551
40.93333,-103.76666999999999,7468,341
37.816666999999995,-109.03333,7359,253
39.9,-105.01666999999999,6074,590
38.13333,-108.3,7149,193
38.21667,-103.75,5777,1050
38.51667,-103.7,6113,845
38.033333,-107.68333,8086,63
37.266667,-107.01666000000002,8136,91
39.1,-108.31667,5262,1224
38.866667,-107.6,6013,672
39.53333,-104.71667,6283,494
38.28333,-104.5,5598,922
38.26667,-104.71667,5346,997
40.1,-108.76666000000002,7234,638
40.8,-105.56667,9478,9
37.683333000000005,-108.03333,9851,0
38.15,-107.76666999999999,8198,59
39.533333,-107.76666000000002,6720,476
37.716667,-107.26666000000002,11123,0
38.033333,-103.7,5205,1054
38.816666999999995,-104.26666,7632,259
38.85,-104.98333000000001,10792,0
37.91667,-104.93333,7423,218
38.083333,-106.13333,8625,101
38.533333,-106.0,7317,119
37.18333,-105.4,8486,25
40.85,-102.51666999999999,6025,874
37.71667,-105.23333000000001,7330,120
37.8,-107.66666000000001,11418,0
40.46667,-106.43333,11034,1
37.36667,-102.75,5712,867
40.5,-106.83333,9678,60
40.716667,-103.13333,6344,855
39.3,-102.58333,6239,792
39.43333,-105.11667,7278,294
39.25,-106.36667,11166,0
38.41667,-104.11667,5568,842
38.81667,-106.61667,11864,0
37.933333000000005,-107.75,9538,3
37.166667,-104.5,5111,653
37.266667,-104.28333,5512,730
37.15,-104.55,6225,353
39.08333,-106.31667,10559,11
38.36667,-108.73333000000001,5388,975
39.63333,-106.36667,10646,0
37.4,-107.55,7964,131
40.733333,-106.28333,10016,11
37.63333,-104.78333,5357,515
37.38333,-102.3,5371,1056
40.416667,-105.2,6504,440
38.133333,-105.48333000000001,8646,23
39.75,-105.08333,5988,496
40.03333,-106.21667,10168,14
37.48333,-106.78333,11373,0
40.05,-102.15,6116,875
40.11667,-106.95,9695,15
37.55,-108.73333000000001,6623,440
41.83333,-73.03333,6839,323
41.16667,-73.13333,5466,789
41.666667,-73.483333,6458,510
41.8,-72.966667,6475,483
41.8,-72.35,6783,317
41.366667,-73.466667,6159,597
41.933333000000005,-73.31666700000001,6579,438
41.35,-72.05,5799,511
41.73333,-72.65,6121,654
41.93333,-72.68333,6104,759
41.75,-72.18333,6688,376
41.55,-72.65,5791,669
41.4,-72.9,6271,558
42.0,-73.166667,7532,237
41.11667,-73.41667,5854,652
41.53333,-72.06667,5916,627
41.716667,-73.3,7014,289
41.13333,-73.55,5582,692
41.8,-72.25,6401,390
41.95,-71.9,6717,390
41.666667,-73.133333,6825,395
39.166667,-75.533333,4212,1262
38.633333,-75.466667,4567,989
38.83333,-75.58333,4816,943
38.766667,-75.133333,4098,1240
39.41667,-75.7,4648,1061
38.916667,-75.416667,4622,1058
39.666667,-75.75,4746,1047
39.66667,-75.6,4888,1125
29.73333,-85.03333,1419,2625
27.233333000000002,-81.866667,649,3080
27.183329999999998,-81.35,656,2960
27.65,-81.5,648,3166
27.816667,-81.81666700000001,486,3643
26.666666999999997,-80.633333,360,3520
27.45,-82.46667,556,3324
28.516666999999998,-82.416667,721,3096
28.666666999999997,-82.083333,789,3125
26.866670000000003,-80.63333,338,3539
30.783333000000002,-85.483333,1900,2285
28.48333,-81.78333,724,3037
26.75,-80.91667,373,3809
29.416666999999997,-81.516667,925,3191
30.8,-86.56667,1737,2411
29.633329999999997,-83.11667,1423,2495
29.183329999999998,-81.05,815,2961
30.716666999999998,-86.116667,1974,2217
29.033333000000002,-81.3,967,2819
26.6,-81.13333,417,3581
25.85,-81.383333,310,3588
29.75,-81.5,928,2976
30.566667,-81.43333299999999,1321,2728
25.15,-80.93333,220,3917
27.533333000000002,-80.8,478,3232
26.116667,-80.133333,178,4098
26.65,-81.866667,302,3957
27.45,-80.333333,483,3410
30.433329999999998,-85.43333,1740,2197
29.633329999999997,-82.36667,1148,2736
